,Extracted Area_JHB,Extracted Area_JHBCode,Extracted listing agency,Extracted listing agencyCode,Extracted Type,Extracted TypeCode,Extracted Available Month,Extracted Available MonthCode
1538,Rosebank,113, Seeff Sandton,150,Apartment,0,February,3
1539,Waverley,132, Rental,137,Apartment,0,April,0
1540,Mayfield Park,73, 2LetNow - JHB,2,Apartment,0,May,8
1541,Melrose,74, Sotheby's International Realty - Craighall,156,Apartment,0,March,7
1542,Dunkeld West,28, Growth Properties,50,Apartment,0,February,3
1543,Killarney,60, Nomsa Nene Properties,96,Apartment,0,February,3
1544,Turffontein,128, Landstar Property Solutions,76,Apartment,0,None,9
1545,Rosettenville,114, Landstar Property Solutions,76,Apartment,0,None,9
1546,Marshalltown,72, Chorus Letting,25,Apartment,0,None,9
1547,Houghton Estate,51, Sotheby's International Realty - Craighall,156,Apartment,0,None,9
1548,Maboneng,70, Chorus Letting,25,Apartment,0,None,9
1549,Hillbrow,50, Johannesburg Housing Company,70,Apartment,0,None,9
1550,Liefde En Vrede,63, Landstar Property Solutions,76,Apartment,0,None,9
1551,Johannesburg Central,53, AFHCO Africa Housing Company,3,Apartment,0,None,9
1552,Bruma,20, Trading Spaces Property Group,159,Apartment,0,None,9
1553,Braamfontein,16, RE/MAX Advantage,121,Apartment,0,None,9
1554,Ridgeway,106, Landstar Property Solutions,76,Apartment,0,None,9
1555,Melrose Arch,75, Vered Estates,163,Apartment,0,None,9
1556,Melrose North,78, Vered Estates,163,Apartment,0,None,9
1557,Houghton Estate,51, Engel & Volkers Hyde Park,36,Apartment,0,None,9
1558,Rosettenville,114, Landstar Property Solutions,76,Apartment,0,None,9
1559,Rosettenville,114, Landstar Property Solutions,76,Apartment,0,None,9
1560,Maboneng,70, Chorus Letting,25,Apartment,0,None,9
1561,Glenvista,43, Boss Platinum Real Estate,18,Townhouse,2,None,9
1562,Killarney,60, Be Prop,15,Apartment,0,None,9
1563,Melrose Arch,75, Vered Estates,163,Apartment,0,None,9
1564,Maboneng,70, Chorus Letting,25,Apartment,0,None,9
1565,Marshalltown,72, Chorus Letting,25,Apartment,0,None,9
1566,Winchester Hills,137, Landstar Property Solutions,76,Apartment,0,None,9
1567,Ridgeway,106, Landstar Property Solutions,76,Apartment,0,None,9
1568,Fordsburg,35, Johannesburg Housing Company,70,Apartment,0,None,9
1569,Aeroton,0, Landstar Property Solutions,76,Apartment,0,None,9
1570,Brixton,19, National Letting - Johannesburg,91,Apartment,0,None,9
1571,Parkhurst,98, National Letting - Johannesburg,91,Apartment,0,None,9
1572,Maboneng,70, Chorus Letting,25,Apartment,0,None,9
1573,Winchester Hills,137, Chas Everitt Glenvista,22,Townhouse,2,None,9
1574,Emmarentia,32, Royal Realty,142,Apartment,0,None,9
1575,Newtown,87, Johannesburg Housing Company,70,Apartment,0,None,9
1576,Johannesburg Central,53, Johannesburg Housing Company,70,Apartment,0,None,9
1577,Hillbrow,50, Chorus Letting,25,Apartment,0,None,9
1578,Marshalltown,72, Chorus Letting,25,Apartment,0,None,9
1579,Parkwood,102, Engel & Volkers Hyde Park,36,Apartment,0,None,9
1580,Auckland Park,5, National Letting - Johannesburg,91,Apartment,0,None,9
1581,Houghton Estate,51, Blue Living Properties,17,Apartment,0,None,9
1582,Alan Manor,1, National Letting - Johannesburg,91,Apartment,0,None,9
1583,Oakdene,91, RE/MAX Advantage,121,Apartment,0,None,9
1584,Parkwood,102, Engel & Volkers Hyde Park,36,Apartment,0,None,9
1585,Parkwood,102, Engel & Volkers Hyde Park,36,Apartment,0,None,9
1586,Parkwood,102, Engel & Volkers Hyde Park,36,Apartment,0,None,9
1587,Dunkeld West,28, RE/MAX Advantage,121,Apartment,0,None,9
1588,Rosebank,113, Engel & Volkers Hyde Park,36,Apartment,0,None,9
1589,Joubert Park,54, Johannesburg Housing Company,70,Apartment,0,None,9
1590,Auckland Park,5, RE/MAX Advantage,121,Apartment,0,None,9
1591,Parkwood,102, RE/MAX Advantage,121,Apartment,0,None,9
1592,Ferreirasdorp,34, Clipper Properties,27,Apartment,0,None,9
1593,Lyndhurst,69, RE/MAX One - Edenvale,124,Townhouse,2,None,9
1594,Turffontein,128, Landstar Property Solutions,76,Apartment,0,None,9
1595,South Hills,119, 2LetNow - JHB,2,Apartment,0,None,9
1596,Winchester Hills,137, Landstar Property Solutions,76,Apartment,0,None,9
1597,Winchester Hills,137, Landstar Property Solutions,76,Apartment,0,None,9
1598,Winchester Hills,137, Landstar Property Solutions,76,Apartment,0,None,9
1599,Regents Park,103, Landstar Property Solutions,76,Apartment,0,None,9
1600,Turffontein,128, Landstar Property Solutions,76,Apartment,0,None,9
1601,Ridgeway,106, Landstar Property Solutions,76,Apartment,0,None,9
1602,Bassonia,6, Landstar Property Solutions,76,Apartment,0,None,9
1603,Westdene,135, Clipper Properties,27,Apartment,0,None,9
