,Extracted Bedrooms,Extracted area,Extracted Bathrooms,Extracted Area_JHB,Extracted listing agency,Extracted Type,Extracted Available Month,RandomForestRegressor,DecisionTreeRegressor,XGBRegressor,id
796,1.0,52.0,1.0,13,83,0,9,7601.78,6100.0,7623.4634,20193006.0
797,1.0,95.0,1.0,105,47,0,9,15510.95,10900.0,8616.6045,20193008.0
798,2.0,118.0,2.0,57,64,0,9,15034.98,10000.0,15601.604,20193015.0
799,2.0,111.0,2.0,57,61,0,9,15866.88,10000.0,16033.072,20193016.0
800,2.0,116.0,2.0,23,59,0,9,16852.48,9000.0,17186.684,20193018.0
801,2.0,0.0,2.0,94,20,0,9,16404.26,17000.0,19302.01,20193021.0
802,2.0,97.0,2.0,16,30,0,9,14649.96,14000.0,11158.329,20193025.0
803,2.0,100.0,2.0,57,29,2,9,17806.8,40000.0,10617.752,20193032.0
804,1.0,0.0,1.0,78,8,0,9,9448.97,12000.0,11592.685,20193033.0
805,2.0,0.0,2.0,56,24,0,9,16752.0,11000.0,16753.873,20193035.0
806,1.5,45.0,1.5,40,30,0,9,14348.4,12500.0,12596.694,20193036.0
807,2.0,115.0,2.0,57,61,0,9,16284.98,10000.0,14889.858,20193037.0
808,2.0,0.0,2.0,113,47,0,9,20376.0,26000.0,24223.488,20193048.0
809,2.0,151.0,2.0,57,97,0,9,19172.93,19500.0,23315.646,20193050.0
810,2.0,159.0,2.0,57,97,0,9,17339.45,19500.0,17188.201,20193052.0
811,2.0,0.0,2.0,61,2,0,9,19599.0,17000.0,14367.702,20193055.0
812,2.0,0.0,2.0,53,22,0,9,16371.0,11000.0,14517.259,20193057.0
813,1.0,65.0,1.0,95,47,0,9,7345.9,12500.0,6202.8535,20193058.0
814,2.0,0.0,2.0,49,47,0,9,14918.0,14500.0,11064.647,20193067.0
815,2.0,100.0,2.0,27,4,0,9,18422.0,17000.0,22835.457,20193069.0
816,2.0,0.0,2.0,27,30,0,9,23843.0,25000.0,30588.69,20193071.0
817,3.0,220.0,3.0,28,62,0,9,22364.8,28000.0,31672.984,20193074.0
818,2.0,99.0,2.0,22,62,0,9,15567.48,9000.0,12198.072,20193075.0
819,2.0,0.0,2.0,0,47,0,9,14843.97,9000.0,14088.859,20193076.0
820,2.0,0.0,2.0,4,55,0,9,14110.95,7500.0,16613.416,20193080.0
821,1.0,0.0,1.0,53,22,0,9,6814.26,2750.0,5350.948,20193086.0
822,4.0,0.0,4.0,17,92,0,9,49495.0,50000.0,42325.95,20193092.0
823,1.0,0.0,1.0,23,28,0,9,9252.0,6200.0,7045.1416,20193094.0
824,2.0,0.0,2.0,41,44,2,9,19253.5,16000.0,14822.743,20193106.0
825,1.0,0.0,1.0,53,22,0,9,6814.26,2750.0,5350.948,20193109.0
826,2.0,89.0,2.0,94,91,0,9,12613.66,10000.0,9796.15,20193119.0
