,Extracted Area_JHB,Extracted Area_JHBCode,Extracted listing agency,Extracted listing agencyCode,Extracted Type,Extracted TypeCode,Extracted Available Month,Extracted Available MonthCode
404,None,72, None,58,None,1,None,9
405,Johannesburg Central,41, AFHCO Africa Housing Company,3,Apartment,0,July,5
406,Braamfontein,13, Nkosi Property Group Office,57,Apartment,0,January,4
407,Melrose,56, You Realty,100,Townhouse,2,November,10
408,Roodepoort,92, Posh Estates,65,Apartment,0,February,3
409,Auckland Park,4, Skye Letting,89,Apartment,0,February,3
410,Bassonia,5, PropertyCloud,72,Townhouse,2,December,2
411,None,72, None,58,None,1,None,9
412,Melrose,56, Jawitz Johannesburg North,43,Apartment,0,March,7
413,Auckland Park,4, Skye Letting,89,Apartment,0,February,3
414,Braamfontein Werf,14, Rental,83,Apartment,0,March,7
415,None,72, None,58,None,1,None,9
416,Rosebank,94, You Realty,100,Apartment,0,February,3
417,Johannesburg Central,41, Framework Property Services,35,Apartment,0,April,0
418,None,72, None,58,None,1,None,9
419,Sandringham,98, Infinite Property Network Dynamyx,40,Apartment,0,August,1
420,Riviera,90, Chas Everitt Hyde Park,20,Apartment,0,January,4
421,Riviera,90, Chas Everitt Hyde Park,20,Apartment,0,January,4
422,Waverley,109, You Realty,100,Apartment,0,October,11
423,Newclare,69, Rental,83,Apartment,0,March,7
424,Braamfontein,13, Mafadi Property Management Office,52,Apartment,0,February,3
425,Maboneng,53, Jawitz Johannesburg North,43,Apartment,0,March,7
426,"Forest Hill - Johannesburg; RE/MAX, Superior",32, ,0,Apartment,0,None,9
427,Dunkeld,27, Chas Everitt Hyde Park,20,Apartment,0,November,10
428,Rosettenville,95, Lencar Exclusive Properties,50,Apartment,0,February,3
429,Doornfontein,26, Mafadi Property Management Office,52,Apartment,0,January,4
430,Rosebank,94, Etchells & Young Property Brokers,32,Apartment,0,February,3
431,Dunkeld West,28, Engel & Volkers Hyde Park,30,Apartment,0,January,4
432,Killarney,47, Rowcor Properties Eleanor Jacobs,84,Apartment,0,March,7
433,None,72,  ,1,None,1,None,9
434,None,72,  ,1,None,1,None,9
435,Rosebank,94, Etchells & Young Property Brokers,32,Apartment,0,July,5
436,Rosebank,94, Etchells & Young Property Brokers,32,Apartment,0,July,5
437,Braamfontein,13, Seeff - Johannesburg Central,86,Apartment,0,December,2
438,Kensington,45, Vartrust Real Estate,96,Apartment,0,January,4
439,Hillbrow,38, Framework Property Services,35,Apartment,0,May,8
440,City & Suburban,18, iThemba Property,103,Apartment,0,April,0
441,None,72, None,58,None,1,None,9
442,None,72, None,58,None,1,None,9
443,Bassonia,5, ,0,Townhouse,2,None,9
444,Hillbrow,38, Trafalgar Property Management,93,Apartment,0,March,7
445,Marshalltown,55, Trafalgar Property Management,93,Apartment,0,April,0
446,Dunkeld,27, Dogon Group Sandton,26,Apartment,0,January,4
447,None,72, None,58,None,1,None,9
448,None,72, None,58,None,1,None,9
449,None,72, Beds,12,None,1,None,9
450,South Hills,100, AFHCO Africa Housing Company,3,Apartment,0,April,0
451,None,72, None,58,None,1,None,9
452,None,72,Apartment / flat to rent in Glenanda - Johannesburg,107,None,1,None,9
453,Mondeor,63, ,0,Townhouse,2,None,9
454,The Hill,104, ,0,Townhouse,2,None,9
455,Auckland Park,4, National Letting - Johannesburg,55,Apartment,0,November,10
456,Johannesburg Central,41, Sotheby's International Realty - Craighall,90,Apartment,0,October,11
457,Maboneng,53, Lukhanyo Property,51,Apartment,0,January,4
458,None,72, None,58,None,1,None,9
459,None,72,  ,1,None,1,None,9
460,Ormonde,80, Natrent Rentals,56,Apartment,0,April,0
461,None,72,  ,1,None,1,None,9
462,Berea,7, iThemba Property,103,Apartment,0,April,0
463,Bassonia,5, Lencar Exclusive Properties,50,Townhouse,2,February,3
464,Riviera,90, Chas Everitt Hyde Park,20,Apartment,0,January,4
465,Joubert Park,43, Mamela Estates,53,Apartment,0,April,0
466,Houghton Estate,39, Seeff Sandton,87,Apartment,0,January,4
467,None,72,  ,1,None,1,None,9
468,None,72,  ,1,None,1,None,9
469,None,72, None,58,None,1,None,9
470,None,72,  ,1,None,1,None,9
471,Westcliff,110, Zareena Kara Properties,101,Apartment,0,March,7
472,Berea,7, iThemba Property,103,Apartment,0,April,0
473,Marshalltown,55, Redcon Property Management,80,Apartment,0,May,8
474,None,72, None,58,None,1,None,9
475,Fordsburg,31, Urban Link JHB Zone 1,95,Apartment,0,October,11
476,Berea,7, Trafalgar Property Management,93,Apartment,0,March,7
477,City & Suburban,18, Urban Link JHB Zone 1,95,Apartment,0,December,2
478,Berea,7, iThemba Property,103,Apartment,0,April,0
479,None,72, None,58,None,1,None,9
480,Rosettenville,95, Trafalgar Property Management,93,Apartment,0,January,4
481,None,72, None,58,None,1,None,9
482,None,72, None,58,None,1,None,9
483,Highlands North,37, Amour Properties,8,Apartment,0,February,3
484,Alan Manor,1, Harcourts Falcons,38,Townhouse,2,March,7
485,None,72, None,58,None,1,None,9
486,None,72, None,58,None,1,None,9
